...1,analysisId,nctId,pValue,statisticalMethod,studyType,EARLY_PHASE1,PHASE1,PHASE2,PHASE3,PHASE4,outcomeTitle,outcomeType,groupDescription,conditionIds,briefTitle,has_less_than,N,model,I,R,C,JAB,k,A,Q_thresh,L,u_raw,u
1458,5bcb074c3d91e45c4a483d378ec716d8,NCT02528253,0.0085,Logistic regression,INTERVENTIONAL,0,0,0,1,0,"Percentage of Participants Achieving RMDQ Reduction of >=30%, >=50%, >=70% and >=90% From Baseline at Weeks 2, 4, 8, 16, 24, 32, 40, 48 and 56: Mixed Baseline Observation Carried Forward (BOCF)/Last Observation Carried Forward (LOCF)",SECONDARY,"Week 40, \>=90%: OR and 95% CI estimated from logistic regression model. Logistic regression model included baseline RMDQ, baseline average LBPI and treatment.",D001416; D017116,A Phase 3 Study of Tanezumab for Chronic Low Back Pain,FALSE,1012,logistic_regression,NA,NA,NA,1.00077425573849,1,0.9990118577075099,6.926528245346765,0.00849263887813445,1.773449736767781e-4,1.773449736767781e-4
2485,9d674e50cca323d862ea8ec1fe1e4f11,NCT02696031,0.0149,Logistic regression,INTERVENTIONAL,0,0,0,1,0,The Number and Percentage of Participants Who Achieved an Assessment of SpondyloArthritis International Society (ASAS) 20 Response,SECONDARY,week 16,D013166; D025241; D000089183,Study of Efficacy and Safety of Secukinumab in Patients With Non-radiographic Axial Spondyloarthritis,FALSE,370,logistic_regression,NA,NA,NA,1.0006359930996,1,0.9972972972972973,5.929528759041084,0.014889222931379065,3.069447480433855e-4,3.069447480433855e-4
3742,ea8ffe9daab6707551c89513facfb20d,NCT00576472,0.019,Two-sample t-test,INTERVENTIONAL,0,0,0,0,1,"Effectiveness of MPH in Enhancing Classroom Attentiveness, Academic Productivity, and Social Behavior Measured by Social Skills Rating System - Teacher (SSRS-T) - Social Skill.",SECONDARY,NA,D054198; D007945; D001932,Learning Impairments Among Survivors of Childhood Cancer,FALSE,240,t-test,NA,NA,NA,1.0010237084945,1,0.9958333333333333,5.503570466954301,0.018977686701105667,7.192661191751829e-4,7.192661191751829e-4
670,27ec6d885dd94464894fa313cd358158,NCT01945034,0.02,ANOVA,INTERVENTIONAL,0,0,0,1,0,Change From Baseline in Ankle Pain at Rest and Upon Weight Bearing (PID NRS) at Pre-specified Time Points,SECONDARY,"At Rest Day 1(PM): The ANOVA model was used which contains treatment, baseline categorical pain severity rating, pooled site block, and baseline pain intensity at rest terms. Upper limit of 95% CI \< 0 for Ibuprofen treatment significantly better than combined Placebo.",D013180; D016512,5% Topical Ibuprofen (IBU) for Ankle Sprain,FALSE,219,anova,2,NA,NA,1.00094501898898,1,0.9954337899543378,5.413792242338595,0.019978269666611204,7.238201511865992e-4,7.238201511865992e-4
1153,475a38a6e6effe8f5c73196bfbcee2f9,NCT01945034,0.02,ANOVA,INTERVENTIONAL,0,0,0,1,0,Change From Baseline in Ankle Pain at Rest and Upon Weight Bearing (PID NRS) at Pre-specified Time Points,SECONDARY,"At Rest Day 3(AM): The ANOVA model was used which contains treatment, baseline categorical pain severity rating, pooled site block, and baseline pain intensity at rest terms. Upper limit of 95% CI \< 0 for Ibuprofen treatment significantly better than combined Placebo.",D013180; D016512,5% Topical Ibuprofen (IBU) for Ankle Sprain,FALSE,219,anova,2,NA,NA,1.00094501898898,1,0.9954337899543378,5.413792242338595,0.019978269666611204,7.238201511865992e-4,7.238201511865992e-4
443,1a2f2e28e943bca0664521dc36f48c1b,NCT01236053,2e-4,Conditional logistic regression,OBSERVATIONAL,0,0,0,0,0,Number of All-Cancer Cases and Matched Controls With the Indicated Exposure to Gabapentin,PRIMARY,NA,D010190; D001749; D002292; D001005; D007680; D013274; D010386; D009423; D010412; D010195; D050500; D009437,Cancer in Patients With Gabapentin (GPRD),FALSE,1710950,logistic_regression,NA,NA,NA,1.29789263256815,1,0.9999994155293842,14.352567718424636,1.5157283796851662e-4,9.714882652981548e-4,9.714882652981548e-4
3132,c51ad7c42d125ac145258aeba4b21230,NCT03930732,0.0089,Logistic regression,INTERVENTIONAL,0,0,0,1,0,Percentage of Participants With SGRQ Improvement >=4 Points at Week 52,SECONDARY,"Derived from logistic regression model which includes treatment group, region (pooled country), ICS dose, smoking status at screening, and baseline SGRQ total score as covariates. Testing according to the hierarchical testing procedure (only performed if the previous endpoint was statistically significant).",D008171; D008173; D029424; D007249,"Pivotal Study to Assess the Efficacy, Safety and Tolerability of Dupilumab in Patients With Moderate-to-severe COPD With Type 2 Inflammation",FALSE,939,logistic_regression,NA,NA,NA,1.00466996376581,1,0.9989350372736954,6.8521127238556065,0.008853651489618364,0.0011264307055082164,0.0011264307055082164
1567,6278d96b137020f494a6f8f1a7e3349d,NCT01073605,0.03273,Mann-Whitney,INTERVENTIONAL,0,0,0,1,0,Change From Baseline in Annual Growth Rate SDS,SECONDARY,2 years,D005317; D006130,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,FALSE,91,mann_whitney,NA,NA,NA,1.00056058653667,1,0.989010989010989,4.56098016770037,0.03270834906819686,0.0012521032195554466,0.0012521032195554466
2014,7ee3b4d86fa0f2b2cb82dd10a9bf3ccc,NCT01543685,0.022,Two-sample t-test,INTERVENTIONAL,0,0,0,1,0,Total Pain Relief (TOTPAR) Over 0 to 4 Hours (TOTPAR-4).,SECONDARY,NA,D010149,Study of Indomethacin Capsules to Treat Pain Following Bunionectomy,FALSE,185,t-test,NA,NA,NA,1.00146427292608,1,0.9945945945945946,5.248727324127663,0.02196282893919299,0.00132577786561958,0.00132577786561958
125,079e25c5fa0d4770351b4722417bbbe3,NCT02528188,0.0059,Logistic regression,INTERVENTIONAL,0,0,0,1,0,"Percentage of Participants Meeting Outcome Measures in Arthritis Clinical Trials-Osteoarthritis Research Society International (OMERACT-OARSI) Responder Index at Weeks 2, 4, 8, 16, 24, 32, 40, 48, 56 and 64",SECONDARY,Week 4,D010003; D020370; D015207; D059350,Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee,FALSE,1998,logistic_regression,NA,NA,NA,1.0116180724855,1,0.9994994994994995,7.603707618677306,0.0058248399532122574,0.0017014097222995297,0.0017014097222995297
