Paper..,Original.sample.size,Original.p.value,Replication.p.value,Original.test.statistic.type,Original.df1,Original.df2,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
1,6,1.41e-7,0.7054361,t,NA,8,0,1.41e-7,6,1,2.3711118307635783e-5,4.7346539416925904e-4,-0.009556985925551405,FALSE
1,6,1.439379e-4,0.0147371,t,NA,8,1,1.439379e-4,6,1,0.005946754066637367,4.7346539416925904e-4,-0.006653554438885855,FALSE
1,6,5.95e-9,0.01050397,t,NA,8,1,5.95e-9,6,1,1.834601666683549e-6,4.7346539416925904e-4,-0.009559712746660025,FALSE
1,6,2.95e-5,0.02309614,t,NA,8,1,2.95e-5,6,1,0.001703862227826281,4.7346539416925904e-4,-0.008964192582878413,FALSE
1,6,6.72e-8,0.8717794,t,NA,8,0,6.72e-8,6,1,1.304147851411351e-5,4.7346539416925904e-4,-0.009558476035864743,FALSE
1,6,0.01991732,0.001698913,t,NA,2.271316,1,0.01991732,6,1,0.25612498976927495,4.7346539416925904e-4,0.39259469212977444,TRUE
1,6,0.03834298,0.5797451,t,NA,2.470459,0,0.03834298,6,1,0.4100349697005011,4.7346539416925904e-4,0.7646308167374257,TRUE
1,6,0.02393541,0.002616336,t,NA,2.288098,1,0.02393541,6,1,0.2926343666240115,4.7346539416925904e-4,0.4737247375080544,TRUE
1,6,0.01260772,0.4371327,t,NA,4,0,0.01260772,6,1,0.18319983209882124,4.7346539416925904e-4,0.24500512104075575,TRUE
1,6,0.00221037,0.007506881,t,NA,4,1,0.00221037,6,1,0.04945678142086643,4.7346539416925904e-4,0.035070182471968386,TRUE
1,6,0.01593591,0.03383443,t,NA,4,1,0.01593591,6,1,0.21763731716766901,4.7346539416925904e-4,0.31220525984489844,TRUE
1,6,0.004981447,0.6712144,t,NA,4,0,0.004981447,6,1,0.09162776131844852,4.7346539416925904e-4,0.09102154313255782,TRUE
1,6,3.8e-5,0.00075998700000000005,t,NA,4,1,3.8e-5,6,1,0.002081979671675411,4.7346539416925904e-4,-0.008792567411288086,FALSE
5,4,6.61e-6,0.03997007,t,NA,3,1,6.61e-6,4,1,9.873916361828724e-4,3.05847439596163e-4,-0.006021582503745009,FALSE
5,4,6.36e-6,0.02797935,t,NA,3,1,6.36e-6,4,1,9.60449389118264e-4,3.05847439596163e-4,-0.006026613276725715,FALSE
5,4,0.4291293,0.9872779,t,NA,3,0,0.4291293,4,1,1.58202414910309,3.05847439596163e-4,8.62925375453709,FALSE
6,4,0.02348687,0.006135204,t,NA,2,1,0.02348687,4,1,0.2918830500366552,3.05847439596163e-4,0.46647384784813517,TRUE
9,18,1.2899999999999999e-39,2.82e-10,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,1.2899999999999999e-39,0.02815377,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,1.2899999999999999e-39,0.005859398,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,1.21e-26,0.2228685,chi-squared,NA,1,0,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,1.21e-26,0.561752,chi-squared,NA,1,0,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,1.21e-26,3.697778e-4,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,6.13e-24,0.1615367,chi-squared,NA,1,0,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,6.13e-24,0.04086671,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,6.13e-24,8.26e-8,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,3.47e-35,0.5395414,chi-squared,NA,1,0,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,3.47e-35,5.64e-9,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,3.47e-35,0.02352626,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
9,18,2.56e-42,5.71e-15,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,5.484507687307794e-4,-0.01109066909442264,FALSE
