Paper..,Original.sample.size,Original.p.value,Replication.p.value,Original.test.statistic.type,Original.df1,Original.df2,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
1,6,1.41e-7,0.7054361,t,NA,8,0,1.41e-7,6,1,2.3711118307635783e-5,0.0011594819617675167,-0.023737278152127332,FALSE
1,6,1.439379e-4,0.0147371,t,NA,8,1,1.439379e-4,6,1,0.005946754066637367,0.0011594819617675167,-0.020793064909191708,FALSE
1,6,5.95e-9,0.01050397,t,NA,8,1,5.95e-9,6,1,1.834601666683549e-6,0.0011594819617675167,-0.023740043274313262,FALSE
1,6,2.95e-5,0.02309614,t,NA,8,1,2.95e-5,6,1,0.001703862227826281,0.0011594819617675167,-0.02313615840198427,FALSE
1,6,6.72e-8,0.8717794,t,NA,8,0,6.72e-8,6,1,1.304147851411351e-5,0.0011594819617675167,-0.023738789192611017,FALSE
1,6,0.01991732,0.001698913,t,NA,2.271316,1,0.01991732,6,1,0.25612498976927495,0.0011594819617675167,0.38406304420335585,TRUE
1,6,0.03834298,0.5797451,t,NA,2.470459,0,0.03834298,6,1,0.4100349697005011,0.0011594819617675167,0.7613248084126615,TRUE
1,6,0.02393541,0.002616336,t,NA,2.288098,1,0.02393541,6,1,0.2926343666240115,0.0011594819617675167,0.4663326466030403,TRUE
1,6,0.01260772,0.4371327,t,NA,4,0,0.01260772,6,1,0.18319983209882124,0.0011594819617675167,0.23440042198714542,TRUE
1,6,0.00221037,0.007506881,t,NA,4,1,0.00221037,6,1,0.04945678142086643,0.0011594819617675167,0.021516725875221993,TRUE
1,6,0.01593591,0.03383443,t,NA,4,1,0.01593591,6,1,0.21763731716766901,0.0011594819617675167,0.3025444575887884,TRUE
1,6,0.004981447,0.6712144,t,NA,4,0,0.004981447,6,1,0.09162776131844852,0.0011594819617675167,0.0782539823848846,TRUE
1,6,3.8e-5,0.00075998700000000005,t,NA,4,1,3.8e-5,6,1,0.002081979671675411,0.0011594819617675167,-0.02296212257391737,FALSE
5,4,6.61e-6,0.03997007,t,NA,3,1,6.61e-6,4,1,9.873916361828724e-4,8.242363247932261e-4,-0.016626611641324715,FALSE
5,4,6.36e-6,0.02797935,t,NA,3,1,6.36e-6,4,1,9.60449389118264e-4,8.242363247932261e-4,-0.016631695446461963,FALSE
5,4,0.4291293,0.9872779,t,NA,3,0,0.4291293,4,1,1.58202414910309,8.242363247932261e-4,8.709677932081567,FALSE
6,4,0.02348687,0.006135204,t,NA,2,1,0.02348687,4,1,0.2918830500366552,8.242363247932261e-4,0.4608496540061405,TRUE
9,18,1.2899999999999999e-39,2.82e-10,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,1.2899999999999999e-39,0.02815377,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,1.2899999999999999e-39,0.005859398,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,1.21e-26,0.2228685,chi-squared,NA,1,0,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,1.21e-26,0.561752,chi-squared,NA,1,0,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,1.21e-26,3.697778e-4,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,6.13e-24,0.1615367,chi-squared,NA,1,0,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,6.13e-24,0.04086671,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,6.13e-24,8.26e-8,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,3.47e-35,0.5395414,chi-squared,NA,1,0,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,3.47e-35,5.64e-9,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,3.47e-35,0.02352626,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,2.56e-42,5.71e-15,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,2.56e-42,4.14e-11,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,2.56e-42,2.67e-5,chi-squared,NA,1,1,2.220446049250313e-16,18,1,6.393359153064549e-14,0.001209725733475553,-0.024794403221982647,FALSE
9,18,0.6449664,1.43e-16,chi-squared,NA,1,1,0.6449664,18,1,3.8379199343752677,0.001209725733475553,13.194364736502683,FALSE
