Study.Num,T_pval_USE..O.,T_pval_USE..R.,T_Test.Statistic..O.,T_N..O.,T_df1..O.,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
1,0.019394664,0.434030725,F,24,1,0,0.019394664,24,1,0.35704453361241273,0.0017664930805376677,0.3654756215196395,TRUE
2,0.001173471,0.269558068,F,24,1,0,0.001173471,24,1,0.03151187074686161,0.0017664930805376677,-0.012294815749720698,FALSE
3,0.030449585,0.228988827,F,25,1,0,0.030449585,25,1,0.5279509375901635,0.0017421198688807316,0.5948762161354691,TRUE
4,0.00141669,0.920419089,F,240,1,0,0.00141669,240,1,0.09725344286912894,6.177750173003149e-4,0.016178189277205973,TRUE
5,0.00689115,0.355722382,F,32,1,0,0.00689115,32,1,0.1647026026570492,0.0015915976917469932,0.10947587723525223,TRUE
6,0.001706566,0.02258934,t,24,1,1,0.001706566,24,1,0.043871338395083705,0.0017664930805376677,-0.0012424367284288621,FALSE
7,2.22e-17,0.313795083,t,100,1,0,2.220446049250313e-16,100,1,3.2463032967631666e-14,9.583286247246692e-4,-0.019541108568489663,FALSE
8,2.00441e-4,0.539998592,F,48,1,0,2.00441e-4,48,1,0.007955901383497785,0.0013466406744518933,-0.023558489903697532,FALSE
10,1.76e-5,2.21e-7,F,32,1,1,1.76e-5,32,1,7.499295421574665e-4,0.0015915976917469932,-0.03251496882140741,FALSE
11,4.43918e-4,0.008168915,F,22,1,1,4.43918e-4,22,1,0.01299886040446125,0.0018175258482412415,-0.028508454005803728,FALSE
12,0.048407105,0.198165248,F,48,2,0,0.048407105,48,2,0.5192144239409773,0.002793525944250974,0.9662568528605027,TRUE
13,1.59e-12,1.58e-12,F,36,2,1,1.59e-12,36,2,8.830207229763289e-10,0.00283586674054781,-0.060127612721250896,FALSE
15,0.028373705,5.05e-5,t,95,1,1,0.028373705,95,1,0.9044944745922683,9.824475740781713e-4,0.5588050824715715,TRUE
17,4.05826e-4,1.37e-6,F,39,2,1,4.05826e-4,39,2,0.00885059455772938,0.0028302324634673637,-0.05139746473394593,FALSE
19,6.92486e-4,0.070889711,F,32,1,0,6.92486e-4,32,1,0.021451676109722848,0.0015915976917469932,-0.01857346346656242,FALSE
20,0.028172412,0.841863775,F,96,1,0,0.028172412,96,1,0.9035013592599449,9.7748510680995e-4,0.5547436102052737,TRUE
22,0.002218001,0.716617946,F,18,3,0,0.002218001,18,3,0.04680754465520225,0.0021051651032659713,0.002355909504173338,TRUE
24,3.54e-6,0.045417099,F,154,1,1,3.54e-6,154,1,2.855031961614537e-4,7.740254892787402e-4,-0.015652010893373595,FALSE
25,6.83e-5,0.001737041,F,24,3,1,6.83e-5,24,3,0.003825224738797008,0.002474183255922857,-0.050622659866706825,FALSE
26,0.117205428,0.165946909,F,16,1,0,0.117205428,16,1,1.2659893652771281,0.001986033761328554,2.399705820300914,FALSE
27,0.030057008,0.001007522,F,32,1,1,0.030057008,32,1,0.5789062552789663,0.0015915976917469932,0.5880262299712383,TRUE
28,0.051569634,0.327320513,F,32,1,0,0.051569634,32,1,0.9023468519560452,0.0015915976917469932,1.0324248255500141,FALSE
