Study.Num,T_pval_USE..O.,T_pval_USE..R.,T_Test.Statistic..O.,T_N..O.,T_df1..O.,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
1,0.019394664,0.434030725,F,24,1,0,0.019394664,24,1,0.35704453361241273,0.0054290691770360056,0.31333415221762856,TRUE
2,0.001173471,0.269558068,F,24,1,0,0.001173471,24,1,0.03151187074686161,0.0054290691770360056,-0.09547923048632902,FALSE
3,0.030449585,0.228988827,F,25,1,0,0.030449585,25,1,0.5279509375901635,0.0053422805783670535,0.5622164487304864,TRUE
4,0.00141669,0.920419089,F,240,1,0,0.00141669,240,1,0.09725344286912894,0.0017914981624993498,-0.0077747315974003636,FALSE
5,0.00689115,0.355722382,F,32,1,0,0.00689115,32,1,0.1647026026570492,0.00482336460862387,0.04577112424292789,TRUE
6,0.001706566,0.02258934,t,24,1,1,0.001706566,24,1,0.043871338395083705,0.0054290691770360056,-0.08351863217355299,FALSE
7,2.22e-17,0.313795083,t,100,1,0,2.220446049250313e-16,100,1,3.2463032967631666e-14,0.0028130546651289334,-0.059615104244729926,FALSE
8,2.00441e-4,0.539998592,F,48,1,0,2.00441e-4,48,1,0.007955901383497785,0.004021504209579585,-0.08310544187867278,FALSE
10,1.76e-5,2.21e-7,F,32,1,1,1.76e-5,32,1,7.499295421574665e-4,0.00482336460862387,-0.10637721395120214,FALSE
11,4.43918e-4,0.008168915,F,22,1,1,4.43918e-4,22,1,0.01299886040446125,0.005614056340846663,-0.1164814334138972,FALSE
12,0.048407105,0.198165248,F,48,2,0,0.048407105,48,2,0.5192144239409773,0.008789740460200424,0.9613471252598729,TRUE
13,1.59e-12,1.58e-12,F,36,2,1,1.59e-12,36,2,8.830207229763289e-10,0.009201281084321056,-0.22552867656819986,FALSE
15,0.028373705,5.05e-5,t,95,1,1,0.028373705,95,1,0.9044944745922683,0.002886544811335656,0.5409741248355021,TRUE
17,4.05826e-4,1.37e-6,F,39,2,1,4.05826e-4,39,2,0.00885059455772938,0.009099239992004904,-0.21254895973340238,FALSE
19,6.92486e-4,0.070889711,F,32,1,0,6.92486e-4,32,1,0.021451676109722848,0.00482336460862387,-0.09143838563534155,FALSE
20,0.028172412,0.841863775,F,96,1,0,0.028172412,96,1,0.9035013592599449,0.002871410082682213,0.5368503908499228,TRUE
22,0.002218001,0.716617946,F,18,3,0,0.002218001,18,3,0.04680754465520225,0.009245721088246506,-0.1724412816495624,FALSE
24,3.54e-6,0.045417099,F,154,1,1,3.54e-6,154,1,2.855031961614537e-4,0.002256753108770826,-0.047194383614172664,FALSE
25,6.83e-5,0.001737041,F,24,3,1,6.83e-5,24,3,0.003825224738797008,0.01002312563356289,-0.24901460635253014,FALSE
26,0.117205428,0.165946909,F,16,1,0,0.117205428,16,1,1.2659893652771281,0.006273682594257091,2.5369560481480975,FALSE
27,0.030057008,0.001007522,F,32,1,1,0.030057008,32,1,0.5789062552789663,0.00482336460862387,0.5585551728846331,TRUE
28,0.051569634,0.327320513,F,32,1,0,0.051569634,32,1,0.9023468519560452,0.00482336460862387,1.0347443758571633,FALSE
29,0.023249789,0.002339966,t,8,1,1,0.023249789,8,1,0.2972170479046831,0.007244341771541873,0.3743468792583087,TRUE
32,2.91e-5,0.001950822,F,37,1,1,2.91e-5,37,1,0.001235543745984509,0.004527224202838354,-0.09891905923893744,FALSE
33,5.41079e-4,0.04414462,t,40,1,1,5.41079e-4,40,1,0.018496070441688852,0.004372061559872686,-0.0839613335785415,FALSE
36,1.90422e-4,4.7793e-4,F,24,1,1,1.90422e-4,24,1,0.006204004810288547,0.0054290691770360056,-0.11753506333183714,FALSE
37,0.05088911,0.142093022,F,12,1,0,0.05088911,12,1,0.6037009611913258,0.006796790822612864,1.020579721204261,FALSE
43,1.46111e-4,0.146902278,F,67,2,0,1.46111e-4,67,2,0.0035178625922726737,0.008192232699405277,-0.19245518761033714,FALSE
44,0.003000884,0.045320778,t,70,1,1,0.003000884,70,1,0.1090104912890746,0.0033581593657081577,-0.007659975696702734,FALSE
46,0,0,F,230047,21,1,2.220446049250313e-16,230047,21,6.78508034556825e-10,0.015581559377063958,-0.45270962585912067,FALSE
48,0.028875522,0.468999328,t,100,1,0,0.028875522,100,1,0.9407766862261959,0.0028130546651289334,0.5523236808382879,TRUE
49,0.022889441,0.777977082,F,36,1,0,0.022889441,36,1,0.4844323289251131,0.004582432797211156,0.4030820964286416,TRUE
50,0.015520906,0.079067813,F,98,2,0,0.015520906,98,2,0.23403191114872396,0.007424173349918184,0.19017205976119916,TRUE
52,0.017513309,0.321906461,F,133,1,0,0.017513309,133,1,0.7006817674947332,0.002433477403246953,0.31702615145094537,TRUE
53,0.030503191,0.513076239,F,48,1,0,0.030503191,48,1,0.7004756605790329,0.004021504209579585,0.5759580937821339,TRUE
55,0.049036287,0.741793627,F,57,2,0,0.049036287,57,2,0.5519505747630291,0.008494286280690155,0.9767811967644432,TRUE
56,9.23e-5,0.796267394,F,103,1,0,9.23e-5,103,1,0.005234771304215568,0.002771439734136738,-0.05672711001680092,FALSE
58,0.023221684,0.540253118,F,186,1,0,0.023221684,186,1,1.0521122158152798,0.0020464898895460326,0.4415775625533975,TRUE
61,0.021121432,0.944257246,t,110,1,0,0.021121432,110,1,0.7527928291826061,0.002680780875689015,0.3897074268251568,TRUE
63,0.021711499,0.374369532,F,71,1,0,0.021711499,71,1,0.6275480153457385,0.0033349494584133943,0.39379684214013505,TRUE
64,3.81e-8,0.425841059,F,82,2,0,3.81e-8,82,2,2.275787351315144e-6,0.007791473013074257,-0.1845938598020178,FALSE
65,0.003830676,0.893478732,F,45,1,0,0.003830676,45,1,0.11248385733917146,0.004143514313735386,-0.006822117069234774,FALSE
68,0.043910406,0.964369609,F,122,1,0,0.043910406,122,1,1.4749853906182502,0.002543286752270446,0.871681084018364,TRUE
71,1.41e-5,0.331896286,t,375,1,0,1.41e-5,375,1,0.0015977275840440785,0.0014161944430164386,-0.028859296363104636,FALSE
72,7.73087e-4,0.48458607,F,261,1,0,7.73087e-4,261,1,0.05793332730801997,0.001714369274341987,-0.019494045333901134,FALSE
73,0.049745991,0.028459737,Chi2,37,1,1,0.049745991,37,1,0.9347146232255366,0.004527224202838354,0.9944140423462811,TRUE
77,0.001382678,0.758,F,246,1,0,0.001382678,246,1,0.09623880215855048,0.0017684573179760354,-0.007998485980831305,FALSE
80,0.044070981,0.190467907,F,46,2,0,0.044070981,46,2,0.4736313153829012,0.0088578739291294,0.8558893385872477,TRUE
81,0.009719762,0.233830099,F,94,1,0,0.009719762,94,1,0.3550256094131271,0.0029019087457171633,0.14475858941869238,TRUE
82,0.033841139,0.086,r,50,41,0,0.033841139,50,41,0.4821869871884024,1.8326735217399914e-5,0.6767042808991823,TRUE
84,2.82953e-4,0.007708395,Chi2,52,1,1,2.82953e-4,52,1,0.011247081789783597,0.0038735260170436048,-0.077841913916297,FALSE
86,0.02102091,0.140627311,F,85,2,0,0.02102091,85,2,0.2946422099659676,0.00771823222756951,0.3146197160920126,TRUE
87,0.003371756,0.929110139,F,55,1,0,0.003371756,55,1,0.10910302474338114,0.003772104480654015,-0.008660322434242597,FALSE
89,0.477948177,0.881922196,t,163,1,0,0.477948177,163,1,9.94081492070295,0.002191491502088194,9.95129738294789,FALSE
93,0.003071238,0.2649653,t,91,1,0,0.003071238,91,1,0.12508755123750434,0.002949434396919637,0.0025887808471400987,TRUE
94,0.036392019,0.011765834,t,28,1,1,0.036392019,28,1,0.6408064314177088,0.005102332430968359,0.6969111818764909,TRUE
97,8.19277e-4,0.154430586,F,90,1,0,8.19277e-4,90,1,0.0373877630667865,0.0029657748190483613,-0.04563693376026251,FALSE
104,0.050342933,0.533880559,Chi2,236,1,0,0.050342933,236,1,2.2819499376515053,0.0018073435851189146,1.0071158766814543,FALSE
106,0.021595498,0.132031044,F,36,1,0,0.021595498,36,1,0.4611758379192275,0.004582432797211156,0.37459217326251165,TRUE
107,0.039641746,0.189435742,t,86,1,0,0.039641746,86,1,1.1447757451759542,0.00303380772547468,0.7794529746108805,TRUE
110,5.76e-24,0.277177119,F,280,1,0,2.220446049250313e-16,280,1,4.374074940357172e-14,0.0016522030928499687,-0.034173286034578476,FALSE
111,0.011256115,0.013965691,F,59,1,1,0.011256115,59,1,0.3266058966159365,0.0036478631338697776,0.16414026149654423,TRUE
112,0.016232104,0.007800372,F,141,1,1,0.016232104,141,1,0.6744148365877926,0.0023616147261825704,0.2911620365403275,TRUE
113,1.69e-18,4.5899999999999996e-35,t,126,1,1,2.220446049250313e-16,126,1,3.3991884350289233e-14,0.0025017431400579104,-0.052670209507573465,FALSE
114,6.47885e-4,5.14e-5,F,32,1,1,6.47885e-4,32,1,0.020203191587407583,0.00482336460862387,-0.09242564375258758,FALSE
115,0.00292708,0.191700924,t,32,1,0,0.00292708,32,1,0.07769219335140914,0.00482336460862387,-0.0419748968066324,FALSE
116,1.18e-4,9.5e-5,t,173,1,1,1.18e-4,173,1,0.008290041714471322,0.0021249452305552863,-0.041920479051570265,FALSE
117,6.059999999999999e-42,3.35e-33,F,12,18,1,2.220446049250313e-16,12,18,0.0019372223621429892,3.6376865286458226e-5,-7.280670016294794e-4,FALSE
118,0.023051359,0.539024693,F,115,1,0,0.023051359,115,1,0.8291167212606304,0.0026209693150170965,0.4312116434129255,TRUE
